,HOST,OS,METHOD,ACCESS,CODE,BYTES
0,83.149.9.216,Mac_OS,GET,Manhã,200,203023
1,83.149.9.216,Mac_OS,GET,Manhã,200,171717
2,83.149.9.216,Mac_OS,GET,Manhã,200,26185
3,83.149.9.216,Mac_OS,GET,Manhã,200,7697
4,83.149.9.216,Mac_OS,GET,Manhã,200,2892
5,83.149.9.216,Mac_OS,GET,Manhã,200,430406
6,83.149.9.216,Mac_OS,GET,Manhã,200,38720
7,83.149.9.216,Mac_OS,GET,Manhã,200,41820
8,83.149.9.216,Mac_OS,GET,Manhã,200,52878
9,83.149.9.216,Mac_OS,GET,Manhã,200,321631
10,83.149.9.216,Mac_OS,GET,Manhã,200,2126
11,83.149.9.216,Mac_OS,GET,Manhã,200,394967
12,83.149.9.216,Mac_OS,GET,Manhã,200,8095
13,83.149.9.216,Mac_OS,GET,Manhã,200,78075
14,83.149.9.216,Mac_OS,GET,Manhã,200,25230
15,83.149.9.216,Mac_OS,GET,Manhã,200,8026
16,83.149.9.216,Mac_OS,GET,Manhã,200,54662
17,83.149.9.216,Mac_OS,GET,Manhã,200,34245
18,83.149.9.216,Mac_OS,GET,Manhã,200,4254
19,83.149.9.216,Mac_OS,GET,Manhã,200,220562
20,83.149.9.216,Mac_OS,GET,Manhã,200,1168622
21,83.149.9.216,Mac_OS,GET,Manhã,200,1079983
22,83.149.9.216,Mac_OS,GET,Manhã,200,3638
23,24.236.252.67,Linux,GET,Manhã,200,3638
24,93.114.45.13,Linux,GET,Manhã,200,18848
25,93.114.45.13,Linux,GET,Manhã,200,1015
26,93.114.45.13,Linux,GET,Manhã,200,4877
27,93.114.45.13,Linux,GET,Manhã,200,3638
28,93.114.45.13,Linux,GET,Manhã,200,6146
29,93.114.45.13,Linux,GET,Manhã,200,52315
30,66.249.73.135,Mac_OS,GET,Manhã,200,12251
31,50.16.19.13,Outro,GET,Manhã,200,14872
32,66.249.73.185,Outro,GET,Manhã,200,37932
33,110.136.166.128,Windows_NT,GET,Manhã,200,12292
34,46.105.14.53,Outro,GET,Manhã,200,14872
35,110.136.166.128,Windows_NT,GET,Manhã,200,1015
36,110.136.166.128,Windows_NT,GET,Manhã,200,4877
37,110.136.166.128,Windows_NT,GET,Manhã,200,3638
38,110.136.166.128,Windows_NT,GET,Manhã,200,6146
39,123.125.71.35,Outro,GET,Manhã,200,40693
40,110.136.166.128,Windows_NT,GET,Manhã,200,52315
41,50.150.204.184,Outro,GET,Manhã,200,65748
42,207.241.237.225,Outro,GET,Manhã,200,9208
43,200.49.190.101,Outro,GET,Manhã,200,1015
44,200.49.190.100,Outro,GET,Manhã,200,44019
45,200.49.190.101,Outro,GET,Manhã,200,4877
46,200.49.190.101,Outro,GET,Manhã,200,6146
47,66.249.73.185,Outro,GET,Manhã,200,1015
48,66.249.73.135,Outro,GET,Manhã,200,9746
49,66.249.73.135,Outro,GET,Manhã,200,16021
50,66.249.73.135,Mac_OS,GET,Manhã,200,11418
51,67.214.178.190,Mac_OS,GET,Manhã,200,37932
52,67.214.178.190,Mac_OS,GET,Manhã,200,8948
53,207.241.237.220,Outro,GET,Manhã,200,28370
54,46.105.14.53,Outro,GET,Manhã,200,14872
55,207.241.237.227,Outro,GET,Manhã,200,9587
56,91.177.205.119,Windows_NT,GET,Manhã,200,10975
57,91.177.205.119,Windows_NT,GET,Manhã,200,1015
58,91.177.205.119,Windows_NT,GET,Manhã,200,4877
59,91.177.205.119,Windows_NT,GET,Manhã,200,6146
60,91.177.205.119,Windows_NT,GET,Manhã,200,52315
61,91.177.205.119,Windows_NT,GET,Manhã,200,3638
62,66.249.73.185,Outro,GET,Manhã,404,294
63,207.241.237.228,Outro,GET,Manhã,200,24142
64,207.241.237.101,Outro,GET,Manhã,200,14888
65,87.169.99.232,Mac_OS,GET,Manhã,200,24747
66,209.85.238.199,Outro,GET,Manhã,200,16021
67,209.85.238.199,Outro,GET,Manhã,200,1370
68,81.220.24.207,Mac_OS,GET,Manhã,200,17147
69,81.220.24.207,Mac_OS,GET,Manhã,200,1015
70,81.220.24.207,Mac_OS,GET,Manhã,200,6146
71,81.220.24.207,Mac_OS,GET,Manhã,200,4877
72,81.220.24.207,Mac_OS,GET,Manhã,200,52315
73,81.220.24.207,Mac_OS,GET,Manhã,200,3638
74,66.249.73.135,Mac_OS,GET,Manhã,200,12908
75,46.105.14.53,Outro,GET,Manhã,200,14872
76,218.30.103.62,Outro,GET,Manhã,200,-
77,218.30.103.62,Outro,GET,Manhã,200,-
78,218.30.103.62,Outro,GET,Manhã,200,14352
79,74.125.40.20,Outro,GET,Manhã,200,29941
80,71.212.224.97,Mac_OS,GET,Manhã,200,12292
81,71.212.224.97,Mac_OS,GET,Manhã,200,1015
82,71.212.224.97,Mac_OS,GET,Manhã,200,4877
83,71.212.224.97,Mac_OS,GET,Manhã,200,6146
84,71.212.224.97,Mac_OS,GET,Manhã,200,52315
85,218.30.103.62,Outro,GET,Manhã,304,-
86,108.174.55.234,Outro,GET,Manhã,200,29941
87,218.30.103.62,Outro,GET,Manhã,200,11388
88,121.107.188.202,Mac_OS,GET,Manhã,200,171717
89,218.30.103.62,Outro,GET,Manhã,200,10185
90,218.30.103.62,Outro,GET,Manhã,200,10975
91,218.30.103.62,Outro,GET,Manhã,200,9872
92,198.46.149.143,Outro,GET,Manhã,200,9316
93,198.46.149.143,Outro,GET,Manhã,200,10756
94,218.30.103.62,Outro,GET,Manhã,200,202
95,218.30.103.62,Outro,GET,Manhã,200,11834
96,66.249.73.135,Mac_OS,GET,Manhã,200,8956
97,86.1.76.62,Linux,GET,Manhã,200,12292
98,86.1.76.62,Linux,GET,Manhã,200,1015
99,86.1.76.62,Linux,GET,Manhã,200,4877
100,86.1.76.62,Linux,GET,Manhã,200,3638
101,86.1.76.62,Linux,GET,Manhã,200,6146
102,86.1.76.62,Linux,GET,Manhã,200,52315
103,66.249.73.135,Outro,GET,Manhã,200,23099
104,107.170.41.69,Outro,GET,Manhã,200,32352
105,50.16.19.13,Outro,GET,Manhã,200,14872
106,46.105.14.53,Outro,GET,Manhã,200,14872
107,208.115.111.72,Outro,GET,Manhã,200,8328
108,208.115.111.72,Outro,GET,Manhã,200,30346
109,208.115.111.72,Outro,GET,Manhã,200,10544
110,208.115.111.72,Outro,GET,Manhã,200,29706
111,50.180.79.170,Mac_OS,GET,Manhã,200,3638
112,208.115.111.72,Outro,GET,Manhã,200,12557
113,208.115.111.72,Outro,GET,Manhã,200,8251
114,208.115.111.72,Outro,GET,Manhã,200,980
115,208.115.111.72,Outro,GET,Manhã,200,1533
116,208.115.111.72,Outro,GET,Manhã,200,966
117,208.115.111.72,Outro,GET,Manhã,200,958
118,208.115.111.72,Outro,GET,Manhã,200,959
119,208.115.111.72,Outro,GET,Manhã,200,2631
120,208.115.111.72,Outro,GET,Manhã,200,944
121,208.115.111.72,Outro,GET,Manhã,200,1175
122,208.115.111.72,Outro,GET,Manhã,200,13316
123,208.115.111.72,Outro,GET,Manhã,200,6719
124,208.115.111.72,Outro,GET,Manhã,200,2362
125,208.115.111.72,Outro,GET,Manhã,200,33514
126,208.115.111.72,Outro,GET,Manhã,200,9208
127,208.115.111.72,Outro,GET,Manhã,200,9335
128,208.115.111.72,Outro,GET,Manhã,200,8587
129,208.115.111.72,Outro,GET,Manhã,200,9882
130,105.235.130.196,Outro,GET,Manhã,200,65748
131,174.37.205.76,Linux,GET,Manhã,200,37936
132,54.255.13.204,Mac_OS,GET,Manhã,200,16543
133,105.235.130.196,Outro,GET,Manhã,200,32742
134,54.255.13.204,Mac_OS,GET,Manhã,200,1015
135,54.255.13.204,Mac_OS,GET,Manhã,200,4877
136,54.255.13.204,Mac_OS,GET,Manhã,200,3638
137,105.235.130.196,Outro,GET,Manhã,200,1015
138,54.255.13.204,Mac_OS,GET,Manhã,200,6146
139,54.255.13.204,Mac_OS,GET,Manhã,200,52315
140,105.235.130.196,Outro,GET,Manhã,200,4877
141,105.235.130.196,Outro,GET,Manhã,200,6146
142,105.235.130.196,Outro,GET,Manhã,200,52315
143,134.76.249.10,Linux,GET,Manhã,200,12292
144,134.76.249.10,Linux,GET,Manhã,200,1015
145,134.76.249.10,Linux,GET,Manhã,200,4877
146,134.76.249.10,Linux,GET,Manhã,200,3638
147,134.76.249.10,Linux,GET,Manhã,200,6146
148,134.76.249.10,Linux,GET,Manhã,200,52315
149,134.76.249.10,Linux,GET,Manhã,301,339
150,134.76.249.10,Linux,GET,Manhã,200,12292
151,66.249.73.135,Outro,GET,Manhã,200,32352
152,207.241.237.220,Outro,GET,Manhã,200,16311
153,68.184.202.186,Mac_OS,GET,Manhã,200,10745
154,68.184.202.186,Mac_OS,GET,Manhã,200,1015
155,68.184.202.186,Mac_OS,GET,Manhã,200,6146
156,68.184.202.186,Mac_OS,GET,Manhã,200,4877
157,68.184.202.186,Mac_OS,GET,Manhã,200,52315
158,68.184.202.186,Mac_OS,GET,Manhã,200,3638
159,46.105.14.53,Outro,GET,Manhã,200,14872
160,66.249.73.135,Outro,GET,Manhã,200,29941
161,24.233.162.179,Linux,GET,Manhã,200,3638
162,123.125.71.117,Outro,GET,Manhã,200,36824
163,220.181.108.153,Outro,GET,Manhã,200,36824
164,65.19.138.34,Outro,GET,Manhã,200,37932
165,66.249.73.135,Mac_OS,GET,Manhã,200,9109
166,97.116.185.190,Windows_NT,GET,Manhã,200,18848
167,97.116.185.190,Windows_NT,GET,Manhã,200,1015
168,97.116.185.190,Windows_NT,GET,Manhã,200,4877
169,97.116.185.190,Windows_NT,GET,Manhã,200,6146
170,97.116.185.190,Windows_NT,GET,Manhã,200,52315
171,97.116.185.190,Windows_NT,GET,Manhã,200,3638
172,5.255.72.168,Mac_OS,GET,Manhã,200,37932
173,5.255.72.168,Mac_OS,GET,Manhã,200,8948
174,46.105.14.53,Outro,GET,Manhã,200,14872
175,5.102.173.71,Outro,GET,Manhã,200,-
176,5.102.173.71,Outro,GET,Manhã,200,12292
177,208.91.156.11,Outro,GET,Manhã,404,324
178,66.249.73.185,Outro,GET,Manhã,304,-
179,74.125.176.81,Outro,GET,Manhã,200,29941
180,66.249.73.135,Mac_OS,GET,Manhã,200,11936
181,187.45.193.158,Windows_NT,GET,Manhã,200,196054
182,90.220.199.149,Mac_OS,GET,Manhã,200,10001
183,90.220.199.149,Mac_OS,GET,Manhã,200,1015
184,90.220.199.149,Mac_OS,GET,Manhã,200,4877
185,90.220.199.149,Mac_OS,GET,Tarde,200,6146
186,90.220.199.149,Mac_OS,GET,Tarde,200,52315
187,90.220.199.149,Mac_OS,GET,Tarde,200,3638
188,36.38.8.174,Windows_NT,GET,Tarde,200,17147
189,36.38.8.174,Windows_NT,GET,Tarde,200,1015
190,36.38.8.174,Windows_NT,GET,Tarde,200,4877
191,36.38.8.174,Windows_NT,GET,Tarde,200,6146
192,36.38.8.174,Windows_NT,GET,Tarde,200,52315
193,36.38.8.174,Windows_NT,GET,Tarde,200,3638
194,71.207.12.53,Outro,GET,Tarde,200,3638
195,220.241.45.142,Outro,GET,Tarde,200,-
196,220.241.45.142,Outro,GET,Tarde,200,9661
197,209.85.238.199,Outro,GET,Tarde,200,32352
198,46.105.14.53,Outro,GET,Tarde,200,14872
199,66.249.73.135,Outro,GET,Tarde,200,8985
200,146.1.1.2,Windows_NT,GET,Tarde,200,17147
201,146.1.1.2,Windows_NT,GET,Tarde,200,4877
202,146.1.1.2,Windows_NT,GET,Tarde,200,1015
203,146.1.1.2,Windows_NT,GET,Tarde,200,3638
204,146.1.1.2,Windows_NT,GET,Tarde,200,6146
205,146.1.1.2,Windows_NT,GET,Tarde,200,52315
206,178.255.215.83,Outro,GET,Tarde,200,11628
207,212.201.44.247,Linux,GET,Tarde,200,50112
208,212.201.44.247,Linux,GET,Tarde,200,3638
